Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Reaction,Rate,Net.Reaction.Rate
CB05,288,9.02444341477349e-10,127376472,HO2NO2 = HO2 + NO2,-247040320,18709096
CB05,288,9.02444341477349e-10,127376472,PAN = C2O3 + NO2,-20617128,18709096
CB05,288,9.02444341477349e-10,127376472,PANX = CXO3 + NO2,-18710100,18709096
CB05,288,9.02444341477349e-10,127376472,PAN = UNITY,-6611653,18709096
CB05,288,9.02444341477349e-10,127376472,PANX = UNITY,-5880370,18709096
CB05,288,9.02444341477349e-10,127376472,Others,-78526.6796875,18709096
CB05,288,9.02444341477349e-10,127376472,HO2 + NO2 = HO2NO2,247583328,18709096
CB05,288,9.02444341477349e-10,127376472,C2O3 + NO2 = PAN,36653124,18709096
CB05,288,9.02444341477349e-10,127376472,CXO3 + NO2 = PANX,33410748,18709096
CB05,288,9.4394958516375e-10,132557568,HO2NO2 = HO2 + NO2,-256141136,19446890
CB05,288,9.4394958516375e-10,132557568,PAN = C2O3 + NO2,-21411908,19446890
CB05,288,9.4394958516375e-10,132557568,PANX = CXO3 + NO2,-19486488,19446890
CB05,288,9.4394958516375e-10,132557568,PAN = UNITY,-6862035.5,19446890
CB05,288,9.4394958516375e-10,132557568,PANX = UNITY,-6124481.5,19446890
CB05,288,9.4394958516375e-10,132557568,Others,-83963.19140625,19446890
CB05,288,9.4394958516375e-10,132557568,HO2 + NO2 = HO2NO2,256705360,19446890
CB05,288,9.4394958516375e-10,132557568,C2O3 + NO2 = PAN,38062008,19446890
CB05,288,9.4394958516375e-10,132557568,CXO3 + NO2 = PANX,34789628,19446890
CB05,288,9.86203008146447e-10,137778688,HO2NO2 = HO2 + NO2,-265143136,20186936
CB05,288,9.86203008146447e-10,137778688,PAN = C2O3 + NO2,-22206418,20186936
CB05,288,9.86203008146447e-10,137778688,PANX = CXO3 + NO2,-20266452,20186936
CB05,288,9.86203008146447e-10,137778688,PAN = UNITY,-7111840.5,20186936
CB05,288,9.86203008146447e-10,137778688,PANX = UNITY,-6369477.5,20186936
CB05,288,9.86203008146447e-10,137778688,Others,-89539.8125,20186936
CB05,288,9.86203008146447e-10,137778688,HO2 + NO2 = HO2NO2,265728272,20186936
CB05,288,9.86203008146447e-10,137778688,C2O3 + NO2 = PAN,39470456,20186936
CB05,288,9.86203008146447e-10,137778688,CXO3 + NO2 = PANX,36175024,20186936
CB05,288,1.02921027256286e-09,143037456,HO2NO2 = HO2 + NO2,-274038944,20928224
CB05,288,1.02921027256286e-09,143037456,PAN = C2O3 + NO2,-22999662,20928224
CB05,288,1.02921027256286e-09,143037456,PANX = CXO3 + NO2,-21048440,20928224
CB05,288,1.02921027256286e-09,143037456,PAN = UNITY,-7360683.5,20928224
