Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
MCMv3.2,290,1.37680284950648e-08,947860800,38782228
MCMv3.2,290,1.47606344924611e-08,1001443200,37727392
MCMv3.2,290,1.57389017374499e-08,1054073792,36673168
MCMv3.2,290,1.67021312336146e-08,1105780736,35632424
MCMv3.2,290,1.76498478055009e-08,1156590720,34613460
MCMv3.2,290,1.85815061115591e-08,1206537472,33623212
MCMv3.2,290,1.94973281963939e-08,1255644160,32664228
MCMv3.2,290,2.03973335999308e-08,1303938304,31738098
MCMv3.2,290,2.12816466671484e-08,1351446528,30845588
MCMv3.2,290,2.21503899666686e-08,1398200576,29988190
MCMv3.2,290,2.30039187698594e-08,1444216704,29163782
MCMv3.2,290,2.38425208465287e-08,1489521536,28372372
MCMv3.2,290,2.46664733083435e-08,1534142208,27613754
MCMv3.2,290,2.54761509665968e-08,1578097920,26885974
MCMv3.2,290,2.62719446197934e-08,1621406336,26187972
MCMv3.2,290,2.7054200657517e-08,1664085120,25518256
MCMv3.2,290,2.78232850092763e-08,1706154880,24875532
MCMv3.2,290,2.85795458410121e-08,1747633536,24260182
MCMv3.2,290,2.93231892101176e-08,1788539008,23670712
MCMv3.2,290,3.00547355891467e-08,1828887552,23104448
MCMv3.2,290,3.07745402494675e-08,1868688512,22560704
MCMv3.2,290,3.14828625391783e-08,1907962752,22037864
